24619745	3
25682074	3
25752562	3
26201402	3
26273192	3
26568208	3
26820943	3
26925684	3
26968398	3
27015557	3
27580659	3
27888421	3
28101798	3
28198380	3
28377481	3
28618929	3
28653902	3
28958991	3
30391405	3
30397860	3
30405852	3
30419345	3
30419349	3
10022033	4
10025425	3
10025444	1
10025576	3
20578946	4
21263000	1
21263000	1
21549079	2
21706501	1
22011734	1
23211900	1
23239255	1
24939608	1
26952712	2
28211982	1
28267727	0
28296849	0
28618888	0
28911804	1
29271604	1
8001324	1
23954459	2
24032991	2
25008444	2
27241659	2
12677556	4
15231740	4
17574030	4
21246219	4
23716571	4
24316073	1
24611735	4
24695551	4
25458167	0
25672202	4
26103456	4
26586152	4
26846096	4
27442694	0
27488999	0
27571505	4
28174811	4
29039417	4
8270381	0
8667262	0
8712208	0
